 ⟦  ⟧ 	ぐん
𝔹	\bb
𝟘	\b0
𝟙	\b1
𝟚	\b2
𝟛	\b3
𝟜	\b4
𝟝	\b5
𝟞	\b6
𝟟	\b7
𝟠	\b8
𝟡	\b9
